frame_number,x_center,y_center,x_size,y_size
2,913,581,84,91
3,899,575,93,101
4,887,569,91,98
5,876,566,87,94
6,867,562,86,93
7,857,563,86,93
8,849,565,85,92
9,840,565,85,92
10,834,566,87,94
11,828,568,90,97
12,821,578,89,96
13,814,585,89,97
14,810,593,90,98
15,807,597,89,97
16,805,601,89,98
17,803,602,90,100
18,802,612,87,97
19,799,616,85,94
20,797,619,84,93
21,797,621,84,93
22,797,622,85,94
23,796,622,85,94
24,793,624,85,94
25,789,623,83,93
26,786,623,83,93
27,783,623,82,92
28,781,622,82,92
29,778,623,83,93
30,771,619,81,91
31,762,615,78,88
32,750,612,76,85
33,743,610,76,85
34,736,609,76,84
35,725,612,77,86
36,709,613,79,87
37,696,615,79,87
38,686,613,78,86
39,679,613,78,86
40,674,615,78,86
41,668,615,78,87
42,664,617,78,87
43,659,618,79,88
44,653,618,78,87
45,650,619,75,84
46,650,619,75,84
47,650,619,75,84
48,643,620,74,84
50,687,558,87,95
51,690,540,86,96
52,693,526,80,89
53,700,514,77,87
54,714,504,81,91
55,727,496,82,92
56,732,492,83,95
57,734,491,85,97
58,731,492,81,94
59,728,493,79,92
60,731,468,77,91
61,738,439,79,93
62,742,416,83,99
63,745,393,85,104
64,749,371,88,109
65,751,349,82,101
66,753,328,69,86
67,753,328,69,86
68,746,315,69,85
69,745,312,68,84
70,746,314,69,83
71,746,323,68,81
72,748,334,65,76
73,753,353,66,77
74,757,379,82,98
75,757,379,82,98
76,760,380,84,100
78,772,513,55,91
79,777,500,53,87
80,774,479,60,99
81,768,456,65,107
82,764,430,65,105
83,760,405,64,101
84,748,386,68,79
84,758,391,64,101
85,741,369,75,87
86,739,358,77,90
87,734,348,80,93
88,729,340,77,89
89,720,339,74,85
90,711,344,73,85
91,701,354,73,84
92,692,367,72,83
93,685,382,82,97
94,679,402,85,102
95,673,422,82,98
96,668,445,76,92
97,659,480,75,91
98,656,488,80,98
99,656,476,90,115
100,651,484,93,118
103,697,288,61,95
104,708,266,64,94
105,712,250,68,100
106,721,234,65,94
107,725,217,65,91
108,731,201,62,85
109,731,196,64,86
110,733,195,65,87
111,734,197,67,89
112,735,204,69,91
113,732,214,67,87
114,724,228,67,85
115,724,226,66,84
117,709,304,105,107
118,710,335,111,115
119,710,365,105,110
120,711,400,89,94
121,713,447,84,89
122,715,493,99,108
123,715,514,91,100
124,715,543,92,102
126,692,436,59,86
127,682,398,58,84
128,669,362,58,84
129,664,341,67,95
130,660,326,61,87
131,655,316,58,81
132,649,315,57,78
133,641,318,58,79
134,633,325,59,80
135,625,336,59,79
136,618,347,65,86
137,611,362,67,90
138,603,378,63,83
139,594,404,61,80
140,586,406,61,79
142,571,502,97,116
143,571,502,97,116
144,571,513,81,96
145,569,527,81,97
147,612,464,74,87
148,616,456,70,83
149,629,451,65,78
150,631,446,64,76
151,639,449,65,77
152,648,458,67,80
153,652,468,75,90
