                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6488,                 1.9368,                 1.4147,                0.88536,                0.79577,                0.86216,                0.55363,                 1.3161,                0.91117,                 1.1923,               0.070157,              0.0033159,              0.0033159
                      1,                 1.2484,                 0.8337,                 1.1178,                0.82893,                0.78488,                 0.8833,                0.55261,                 1.4073,                0.91933,                 1.1915,               0.040025,              0.0065176,              0.0065176
                      2,                 1.2536,                0.86576,                  1.059,                0.95217,                0.84121,                0.94477,                0.60998,                 1.2756,                0.74371,                 1.1293,              0.0097618,              0.0095872,              0.0095872
                      3,                 1.1866,                0.74465,                 1.0563,                0.97601,                0.85958,                0.94808,                0.58083,                  1.368,                 0.7492,                  1.184,               0.009406,               0.009406,               0.009406
                      4,                 1.1836,                0.76016,                 1.0443,                0.98708,                0.90141,                0.96616,                0.68113,                 1.1249,                0.68685,                 1.0403,               0.009406,               0.009406,               0.009406
                      5,                 1.1596,                0.68194,                 1.0251,                0.93075,                0.94648,                 0.9734,                0.66501,                 1.1972,                0.64424,                 1.1073,               0.009208,               0.009208,               0.009208
                      6,                 1.1263,                0.68404,                 1.0259,                0.94702,                0.97183,                 0.9821,                0.68351,                 1.0415,                 0.6348,                  1.057,                0.00901,                0.00901,                0.00901
                      7,                 1.0879,                0.66088,                 1.0092,                 0.9634,                0.92958,                0.97863,                0.70468,                 1.1301,                0.61983,                 1.0722,               0.008812,               0.008812,               0.008812
                      8,                 1.0933,                 0.6242,                  1.014,                 0.9834,                0.93662,                 0.9745,                0.70526,                 1.0674,                0.58187,                 1.0348,               0.008614,               0.008614,               0.008614
                      9,                 1.0759,                0.62525,                 1.0052,                0.99106,                0.91549,                0.98654,                0.67084,                 1.1414,                0.64177,                 1.0877,               0.008416,               0.008416,               0.008416
                     10,                  1.031,                0.58625,                0.98589,                0.98443,                0.94366,                0.97742,                0.71381,                 1.0302,                 0.5636,                 1.0287,               0.008218,               0.008218,               0.008218
