frame_number,x_center,y_center,x_size,y_size
0,930.5,586.5,107,99
1,924.0,581.5,106,99
2,910.5,579.5,111,99
3,895.0,574.0,112,100
4,881.0,569.0,110,100
5,872.5,565.0,105,100
6,865.5,562.0,103,100
7,856.0,563.5,104,99
8,847.0,564.0,106,98
9,837.5,566.5,107,99
10,831.0,567.0,104,100
11,826.0,570.0,102,100
12,819.0,581.0,100,98
13,812.5,588.0,99,100
14,808.0,593.0,100,100
15,806.0,598.0,100,100
16,804.5,603.0,99,100
17,803.0,606.5,98,99
18,802.5,612.0,97,98
19,797.5,613.5,97,97
20,796.0,615.5,98,97
21,796.5,617.5,97,97
22,796.0,618.0,96,96
23,794.0,618.5,96,97
24,791.0,619.5,96,97
25,785.5,619.5,97,97
26,782.5,620.0,97,96
27,781.0,620.0,96,96
28,779.0,620.0,96,96
29,774.5,619.0,95,96
30,766.5,614.5,95,95
31,758.5,610.5,97,95
32,749.0,608.0,102,94
33,743.0,605.5,104,93
34,746.0,607.5,112,91
35,742.0,609.0,118,90
36,725.0,611.0,122,90
37,707.0,611.5,120,91
38,703.5,612.0,121,90
39,700.0,612.0,124,90
40,696.0,614.0,126,90
41,693.0,613.0,128,90
42,689.5,615.0,129,90
43,688.0,616.0,132,90
44,676.5,616.0,135,86
45,676.5,615.0,143,82
46,672.5,611.5,143,83
47,679.0,605.5,132,93
48,683.0,589.0,118,106
49,692.0,569.0,112,116
50,701.0,555.0,114,120
51,707.0,544.5,116,119
52,711.5,531.5,115,117
53,713.5,524.0,111,120
54,719.5,523.5,101,129
55,728.0,523.0,96,138
56,730.5,518.0,93,140
57,729.5,514.0,93,136
58,724.5,507.5,95,129
59,723.0,493.5,94,129
60,728.0,467.5,94,123
61,735.0,434.0,96,114
62,738.0,408.0,94,110
63,742.0,389.5,92,111
64,745.5,362.5,91,113
65,743.0,342.0,92,106
66,737.0,333.0,96,102
67,746.5,307.0,95,102
68,742.5,309.5,93,99
69,743.0,314.0,92,94
70,743.0,319.0,90,92
71,743.0,328.5,88,89
72,745.0,338.5,86,91
73,755.0,359.0,84,90
74,760.0,378.0,80,98
75,766.0,408.5,76,103
76,765.5,448.5,75,109
77,766.5,481.0,79,106
78,770.5,519.0,83,100
79,775.5,501.0,83,102
80,769.5,469.0,85,102
81,763.5,446.0,87,104
82,761.0,420.5,86,105
83,756.0,400.0,88,102
84,747.0,383.0,90,94
85,739.5,358.5,89,95
86,736.0,350.0,88,94
87,730.0,340.0,90,94
88,724.5,335.0,93,92
89,717.5,334.5,93,93
90,710.5,338.0,93,96
91,700.5,353.5,93,97
92,692.0,364.5,92,99
93,684.5,384.5,91,99
94,679.5,407.5,89,101
95,673.5,431.0,89,102
96,668.0,457.0,88,98
97,655.5,494.5,87,99
98,655.5,497.0,83,108
99,661.0,450.0,82,118
100,671.5,400.5,83,125
101,673.0,368.5,86,115
